Names,Sex ,Number,Percent,SurveyNumber,Rating
New Brunswick,Female,106,32.8,Survey4,Average
Quebec,Female,1013,29.5,Survey4,Average
Ontario,Female,1952,33.5,Survey4,Average
Manitoba,Female,205,39.3,Survey4,Average
Saskatchewan,Female,169,38.1,Survey4,Average
Alberta,Female,556,34.1,Survey4,Average
British Columbia,Female,712,35.3,Survey4,Average
Yukon,Female,7,47.5,Survey4,Average
Northwest Territories,Female,8,52.5,Survey4,Average
Nunavut,Female,6,50.9,Survey4,Average
Newfoundland and Labrador,Male,66,31.7,Survey5,Average
Prince Edward Island,Male,16,27.9,Survey5,Average
Nova Scotia,Male,124,32.4,Survey5,Average
New Brunswick,Male,86,27.9,Survey5,Average
Quebec,Male,795,23.6,Survey5,Average
Ontario,Male,1578,28.2,Survey5,Average
Manitoba,Male,180,35,Survey5,Average
Saskatchewan,Male,166,37.3,Survey5,Average
Alberta,Male,549,32.4,Survey5,Average
British Columbia,Male,618,31.5,Survey5,Average
Yukon,Male,5,30.4,Survey5,Average
Northwest Territories,Male,7,40.7,Survey5,Average
Nunavut,Male,5,39.2,Survey5,Average
Newfoundland and Labrador,Female,71,32.3,Survey5,Average
Prince Edward Island,Female,17,26.6,Survey5,Average
Nova Scotia,Female,125,30.4,Survey5,Average
New Brunswick,Female,84,25.8,Survey5,Average
Quebec,Female,749,21.9,Survey5,Average
Ontario,Female,1639,28.1,Survey5,Average
Manitoba,Female,180,34.5,Survey5,Average
Saskatchewan,Female,153,34.5,Survey5,Average
Alberta,Female,505,31,Survey5,Average
British Columbia,Female,619,30.7,Survey5,Average
Yukon,Female,6,39.6,Survey5,Average
Northwest Territories,Female,7,40.3,Survey5,Average
Nunavut,Female,4,35.5,Survey5,Average
Newfoundland and Labrador,Male,62,29.8,Survey6,Average
Prince Edward Island,Male,14,23.4,Survey6,Average
Nova Scotia,Male,120,31.3,Survey6,Average
New Brunswick,Male,87,28.4,Survey6,Average
Quebec,Male,842,25,Survey6,Average
Ontario,Male,1668,29.8,Survey6,Average
Manitoba,Male,171,33.2,Survey6,Average
Saskatchewan,Male,162,36.3,Survey6,Average
Alberta,Male,592,34.9,Survey6,Average
British Columbia,Male,670,34.2,Survey6,Average
Yukon,Male,6,39.5,Survey6,Average
Northwest Territories,Male,7,41,Survey6,Average
Nunavut,Male,6,43.8,Survey6,Average
Newfoundland and Labrador,Female,60,27.1,Survey6,Average
Prince Edward Island,Female,14,22.8,Survey6,Average
Nova Scotia,Female,128,31,Survey6,Average
New Brunswick,Female,79,24.5,Survey6,Average
Quebec,Female,733,21.4,Survey6,Average
Ontario,Female,1710,29.4,Survey6,Average
Manitoba,Female,179,34.2,Survey6,Average
Saskatchewan,Female,154,34.6,Survey6,Average
Alberta,Female,475,29.2,Survey6,Average
British Columbia,Female,598,29.6,Survey6,Average
Yukon,Female,7,45.6,Survey6,Average
Northwest Territories,Female,7,44.1,Survey6,Average
Nunavut,Female,5,40.7,Survey6,Average
